"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"27.01.2022","0,9495","0,9180","0,9855","0,9100","3,09%"
"26.01.2022","0,9210","0,9180","0,9370","0,9000","1,99%"
"25.01.2022","0,9030","0,9020","0,9180","0,8730","2,50%"
"24.01.2022","0,8810","0,8960","0,8990","0,8430","0,46%"
"21.01.2022","0,8770","0,8660","0,8910","0,8530","-2,99%"
"20.01.2022","0,9040","0,9260","0,9310","0,8910","-1,20%"
"19.01.2022","0,9150","0,9220","0,9580","0,9030","5,41%"
"18.01.2022","0,8680","0,8600","0,8750","0,8360","2,72%"
"17.01.2022","0,8450","0,8010","0,8480","0,7950","6,02%"
"14.01.2022","0,7970","0,7780","0,8050","0,7630","4,46%"
"13.01.2022","0,7630","0,8180","0,8320","0,7590","-5,33%"
"12.01.2022","0,8060","0,7980","0,8530","0,7980","-4,05%"
"11.01.2022","0,8400","0,8350","0,8620","0,8280","-0,24%"
"10.01.2022","0,8420","0,8530","0,8570","0,8260","0,84%"
"07.01.2022","0,8350","0,8240","0,8360","0,7950","2,33%"
"06.01.2022","0,8160","0,8250","0,8280","0,7870","7,79%"
"05.01.2022","0,7570","0,7680","0,7750","0,7370","-1,17%"
"04.01.2022","0,7660","0,7250","0,7890","0,7170","11,99%"
"03.01.2022","0,6840","0,6870","0,6910","0,6460","2,40%"
"01.01.2022","0,6680","0,6680","0,6680","0,6680","-1,62%"
"31.12.2021","0,6790","0,6870","0,6910","0,6460","-1,02%"
"30.12.2021","0,6860","0,7050","0,7180","0,6650","-3,92%"
"29.12.2021","0,7140","0,6750","0,7270","0,6720","10,78%"
"27.12.2021","0,6445","0,6445","0,6445","0,6445","-4,38%"
"24.12.2021","0,6740","0,6690","0,7050","0,6500","1,51%"
"23.12.2021","0,6640","0,6780","0,6970","0,6520","1,68%"
"22.12.2021","0,6530","0,6320","0,6680","0,6090","4,98%"
"21.12.2021","0,6220","0,5760","0,6260","0,5490","14,13%"
"20.12.2021","0,5450","0,4990","0,5520","0,4710","4,81%"
"17.12.2021","0,5200","0,4930","0,5340","0,4880","2,77%"
"16.12.2021","0,5060","0,4930","0,5850","0,4750","3,69%"
"15.12.2021","0,4880","0,4630","0,5170","0,4610","10,66%"
"14.12.2021","0,4410","0,4100","0,4540","0,3990","11,65%"
"13.12.2021","0,3950","0,4370","0,4390","0,3940","-6,84%"
"10.12.2021","0,4240","0,4550","0,4550","0,4020","-2,53%"
"09.12.2021","0,4350","0,4320","0,4420","0,3940","-5,64%"
